역번호,호선,updnLine,시간대,요일_카테고리,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_1_fft,congestionCar_2_fft,congestionCar_3_fft,congestionCar_4_fft,congestionCar_5_fft,congestionCar_6_fft,congestionCar_7_fft,congestionCar_8_fft
716,7.000000,0.000000,530.000000,토요일,22.814815,17.925926,18.601852,17.018519,15.657407,14.324074,14.370370,17.212963,104.520833,90.937500,104.333333,95.541667,101.604167,103.333333,79.041667,64.187500
717,7.000000,0.000000,530.000000,토요일,24.777778,20.370370,22.037037,20.037037,18.222222,16.259259,16.333333,20.296296,115.500000,104.833333,118.916667,110.333333,117.416667,119.500000,92.083333,74.416667
718,7.000000,0.000000,530.000000,토요일,22.518519,18.733333,20.711111,18.703704,17.488889,15.266667,15.066667,18.570370,118.503704,109.807407,122.303704,116.562963,125.711111,123.911111,95.592593,76.555556
719,7.000000,0.000000,530.000000,토요일,20.259259,17.096296,19.385185,17.370370,16.755556,14.274074,13.800000,16.844444,121.507407,114.781481,125.690741,122.792593,134.005556,128.322222,99.101852,78.694444
720,7.000000,0.000000,530.000000,토요일,18.000000,15.459259,18.059259,16.037037,16.022222,13.281481,12.533333,15.118519,124.511111,119.755556,129.077778,129.022222,142.300000,132.733333,102.611111,80.833333
721,7.000000,0.000000,530.000000,토요일,15.740741,13.822222,16.733333,14.703704,15.288889,12.288889,11.266667,13.392593,127.514815,124.729630,132.464815,135.251852,150.594444,137.144444,106.120370,82.972222
722,7.000000,0.000000,530.000000,토요일,13.481481,12.185185,15.407407,13.370370,14.555556,11.296296,10.000000,11.666667,130.518519,129.703704,135.851852,141.481481,158.888889,141.555556,109.629630,85.111111
723,7.000000,0.000000,530.000000,토요일,11.562963,11.422222,14.540741,12.125926,13.881481,10.481481,8.844444,10.377778,141.807407,134.577778,143.540741,142.992593,158.237037,145.777778,123.525926,95.244444
724,7.000000,0.000000,530.000000,토요일,9.644444,10.659259,13.674074,10.881481,13.207407,9.666667,7.688889,9.088889,153.096296,139.451852,151.229630,144.503704,157.585185,150.000000,137.422222,105.377778
725,7.000000,0.000000,530.000000,토요일,7.725926,9.896296,12.807407,9.637037,12.533333,8.851852,6.533333,7.800000,164.385185,144.325926,158.918519,146.014815,156.933333,154.222222,151.318519,115.511111
726,7.000000,0.000000,530.000000,토요일,5.807407,9.133333,11.940741,8.392593,11.859259,8.037037,5.377778,6.511111,175.674074,149.200000,166.607407,147.525926,156.281481,158.444444,165.214815,125.644444
727,7.000000,0.000000,530.000000,토요일,3.888889,8.370370,11.074074,7.148148,11.185185,7.222222,4.222222,5.222222,186.962963,154.074074,174.296296,149.037037,155.629630,162.666667,179.111111,135.777778
728,7.000000,0.000000,530.000000,토요일,7.024691,11.246914,14.444444,11.320988,13.629630,9.493827,6.148148,7.320988,130.864198,114.419753,133.037037,120.024691,127.086420,127.160494,144.246914,105.358025
729,7.000000,0.000000,530.000000,토요일,10.160494,14.123457,17.814815,15.493827,16.074074,11.765432,8.074074,9.419753,74.765432,74.765432,91.777778,91.012346,98.543210,91.654321,109.382716,74.938272
730,7.000000,0.000000,530.000000,토요일,13.296296,17.000000,21.185185,19.666667,18.518519,14.037037,10.000000,11.518519,26.592593,35.111111,50.518519,62.000000,70.000000,56.148148,74.518519,44.518519
731,7.000000,0.000000,530.000000,토요일,15.879630,21.129630,26.287037,19.148148,20.490741,16.342593,12.342593,14.064815,31.759259,42.259259,52.574074,56.685185,61.537037,49.870370,65.703704,41.833333
732,7.000000,0.000000,530.000000,토요일,18.462963,25.259259,31.388889,18.629630,22.462963,18.648148,14.685185,16.611111,36.925926,50.518519,62.777778,51.370370,53.074074,43.592593,56.888889,39.148148
733,7.000000,0.000000,530.000000,토요일,21.046296,29.388889,36.490741,18.111111,24.435185,20.953704,17.027778,19.157407,42.092593,58.777778,72.981481,46.055556,48.870370,41.907407,48.074074,38.314815
734,7.000000,0.000000,530.000000,토요일,23.629630,33.518519,41.592593,17.592593,26.407407,23.259259,19.370370,21.703704,47.259259,67.037037,83.185185,40.740741,52.814815,46.518519,39.259259,43.407407
735,7.000000,0.000000,530.000000,토요일,31.972222,43.268519,51.018519,25.759259,33.750000,30.888889,25.907407,26.166667,63.944444,86.537037,102.037037,51.518519,67.500000,61.777778,51.814815,52.333333
736,7.000000,0.000000,530.000000,토요일,40.314815,53.018519,60.444444,33.925926,41.092593,38.518519,32.444444,30.629630,80.629630,106.037037,120.888889,67.851852,82.185185,77.037037,64.888889,61.259259
737,7.000000,0.000000,530.000000,토요일,48.657407,62.768519,69.870370,42.092593,48.435185,46.148148,38.981481,35.092593,97.314815,125.537037,139.740741,84.185185,96.870370,92.296296,77.962963,70.185185
738,7.000000,0.000000,530.000000,토요일,57.000000,72.518519,79.296296,50.259259,55.777778,53.777778,45.518519,39.555556,114.000000,145.037037,158.592593,100.518519,111.555556,107.555556,91.037037,79.111111
739,7.000000,0.000000,530.000000,토요일,53.787037,67.842593,73.574074,49.398148,52.916667,51.083333,43.879630,36.546296,107.574074,135.685185,147.148148,98.796296,105.833333,102.166667,87.759259,73.092593
